Q845292	P5063	"i45053"
Q369767	P8814	"01853194-n"
Q369767	P5063	"i45070"
Q692192	P8814	"01853848-n"
Q692192	P5063	"i45074"
Q322159	P8814	"01854783-n"
Q322159	P5063	"i45080"
Q200339	P8814	"01855041-n"
Q200339	P5063	"i45082"
Q27434	P8814	"01856307-n"
Q27434	P5063	"i45090"
Q26597	P8814	"01856511-n"
Q26597	P5063	"i45092"
Q241349	P8814	"01858117-n"
Q241349	P5063	"i45101"
Q31354	P8814	"01859021-n"
Q31354	P5063	"i45106"
Q26603	P8814	"01862137-n"
Q26603	P5063	"i45126"
Q732753	P8814	"01863505-n"
Q732753	P5063	"i45134"
Q602961	P8814	"01863971-n"
Q602961	P5063	"i45137"
Q194663	P8814	"01877954-n"
Q194663	P5063	"i45164"
Q371667	P8814	"01879308-n"
Q371667	P5063	"i45172"
Q270098	P8814	"01880247-n"
Q270098	P5063	"i45176"
Q732477	P8814	"01884498-n"
Q732477	P5063	"i45203"
Q36101	P8814	"01885355-n"
Q36101	P5063	"i45209"
Q194516	P8814	"01886844-n"
Q194516	P5063	"i45217"
Q547663	P8814	"01892490-n"
Q547663	P5063	"i45246"
Q1470645	P8814	"01892785-n"
Q1470645	P5063	"i45248"
Q1767402	P8814	"01893654-n"
Q1767402	P5063	"i45254"
Q591450	P8814	"01894671-n"
Q591450	P5063	"i45260"
Q469038	P8814	"01894786-n"
Q469038	P5063	"i45261"
Q1766543	P8814	"01895026-n"
Q1766543	P5063	"i45263"
Q2043191	P8814	"01895385-n"
Q2043191	P5063	"i45265"
Q465986	P8814	"01895662-n"
Q465986	P5063	"i45267"
Q613721	P8814	"01895805-n"
Q613721	P5063	"i45268"
Q1764011	P8814	"01896040-n"
Q1764011	P5063	"i45270"
Q6145	P8814	"01896466-n"
Q6145	P5063	"i45273"
Q852769	P8814	"01897163-n"
Q852769	P5063	"i45277"
Q474780	P8814	"01897597-n"
Q474780	P5063	"i45280"
Q2118900	P8814	"01914044-n"
Q2118900	P5063	"i45378"
Q2469009	P8814	"01923700-n"
Q2469009	P5063	"i45436"
Q334149	P8814	"01929020-n"
Q334149	P5063	"i45462"
Q3503323	P8814	"01933781-n"
Q3503323	P5063	"i45489"
Q1368890	P8814	"01934792-n"
Q1368890	P5063	"i45496"
Q30041	P8814	"01941095-n"
Q30041	P5063	"i45529"
Q1552190	P8814	"01945728-n"
Q1552190	P5063	"i45545"
Q245314	P8814	"01947453-n"
Q245314	P5063	"i45555"
Q40470822	P8814	"01947981-n"
Q40470822	P5063	"i45558"
Q3173997	P8814	"01949468-n"
Q3173997	P5063	"i45567"
Q182258	P8814	"01951726-n"
Q182258	P5063	"i45582"
Q3739561	P8814	"01952140-n"
Q3739561	P5063	"i45585"
Q1434354	P8814	"01952614-n"
Q1434354	P5063	"i45588"
Q520464	P8814	"01953915-n"
Q520464	P5063	"i45594"
Q522625	P8814	"01954254-n"
Q522625	P5063	"i45596"
Q11176238	P8814	"01956235-n"
Q11176238	P5063	"i45608"
Q204259	P8814	"01965147-n"
Q204259	P5063	"i45659"
Q27855	P8814	"01966912-n"
Q27855	P5063	"i45670"
Q752130	P8814	"01968170-n"
Q752130	P5063	"i45678"
Q106066216	P8814	"01969227-n"
Q106066216	P5063	"i45683"
Q39514	P8814	"01973308-n"
Q39514	P5063	"i45707"
Q5461759	P8814	"01980126-n"
Q5461759	P5063	"i45739"
