wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
13169574-n,tropical woody vines and herbaceous plants having aromatic herbage and minute flowers in spikelets,i105746,Piperaceae|family Piperaceae|pepper family,Q156522
13172345-n,"family of perennial aromatic herbs: genera Saururus, Anemopsis, Houttuynia",i105760,Saururaceae|family Saururaceae|lizard's-tail family,Q157072
13172980-n,one species: yerba mansa,i105763,Anemopsis|genus Anemopsis,Q18200394
13173369-n,one species; east Asian low-growing plant of wet places,i105765,Houttuynia|genus Houttuynia,Q162194
13190117-n,ferns,i105864,Filicopsida|class Filicopsida|Filicinae|class Filicinae,Q21026831
13190572-n,true (leptosporangiate) ferns,i105865,Filicales|order Filicales|Polypodiales|order Polypodiales,Q834805
13190958-n,a family of ferns belonging to order Filicales,i105866,Gleicheniaceae|family Gleicheniaceae,Q2264971
13191184-n,type genus of Gleicheniaceae: leptosporangiate ferns with sessile sporangia; South Africa to Malaysia and New Zealand,i105867,Gleichenia|genus Gleichenia,Q429586
13192345-n,coextensive with the genus Ceratopteris; sometimes included in family Polypodiaceae,i105873,Parkeriaceae|family Parkeriaceae,Q19385821
13193005-n,ferns: a large family that in some classification systems has been subdivided into several families (including Aspleniaceae and Blechnaceae and Davalliaceae and Dennstaedtiaceae and Dryopteridaceae and Oleandraceae and Pteridaceae),i105877,Polypodiaceae|family Polypodiaceae,Q849350
13195104-n,epiphytic ferns of tropical Asia,i105885,Aglaomorpha|genus Aglaomorpha,Q4692851
13195413-n,epiphytic ferns of tropical America,i105887,Campyloneurum|genus Campyloneurum,Q4566572
13196222-n,epiphytic ferns of Madagascar to tropical Asia and New Guinea,i105891,Drymoglossum|genus Drymoglossum,Q5814402
13196382-n,large robust epiphytic ferns of tropical forest and scrub; Africa and Asia and Australia,i105892,Drynaria|genus Drynaria,Q3020925
13197099-n,epiphytic ferns of tropical America and Africa,i105896,Microgramma|genus Microgramma,Q1803403
13197421-n,tropical usually epiphytic ferns; Africa to Asia and Polynesia to Australia,i105898,Microsorium|genus Microsorium,Q87298442
13197771-n,chiefly epiphytic tropical ferns with free veins bearing sori,i105900,Phlebodium|genus Phlebodium,Q2618227
13199005-n,epiphytic or lithophytic or terrestrial ferns of tropical Old World,i105906,Pyrrosia|genus Pyrrosia,Q4250979
13199398-n,tropical American epiphytic ferns having rhizomes with tubers and roots as well as scales,i105908,Solanopteris|genus Solanopteris,Q17188414
13199781-n,tropical Old World ferns having closely crowded circular sori and no indusia,i105910,Cyclophorus|genus Cyclophorus,Q17186486
13200114-n,used in some classification systems for some genera of the family Polypodiaceae (or Pteridaceae),i105912,Adiantaceae|family Adiantaceae,Q3735428
13200308-n,one of a number of families into which Polypodiaceae has been subdivided in some classification systems: genus Vittaria,i105913,Vittariaceae|family Vittariaceae,Q19387804
13200870-n,"one of a number of families into which Polypodiaceae has been subdivided in some classification systems; includes genera Asplenium, Pleurosorus, Schaffneria",i105916,Aspleniaceae|family Aspleniaceae,Q1137402
13201202-n,"a genus of about 700 species of ferns, often treated as the only genus in the family Aspleniaceae, in some classification systems placed in family Polypodiaceae (Asplenium)",i105917,Asplenium|genus Asplenium,Q5347305
13202514-n,classification used in some especially former systems for plants usually placed in genus Asplenium,i105923,Camptosorus|genus Camptosorus,Q12840797
13204149-n,small genus of Old World ferns; superseded in some classification systems which place plants of this genus in e.g. genera Asplenium and Pleurosorus,i105933,Ceterach|genus Ceterach,Q1968640
13204567-n,small genus comprising terrestrial ferns; found in Chile and Spain and Morocco and Australia and New Zealand,i105935,Pleurosorus|genus Pleurosorus,Q17278592
13204772-n,genus of the family Aspleniaceae (Schaffneria),i105936,Schaffneria|genus Schaffneria,Q17166649
13205062-n,a genus of ferns belonging to the family Polypodiaceae (in some classification systems included in genus Asplenium),i105938,Phyllitis|genus Phyllitis|genus Scolopendrium,Q17166671
13205390-n,"one of a number of families into which the family Polypodiaceae has been subdivided in some classification systems; includes genera Blechnum, Doodia, Sadleria, Stenochlaena, and Woodwardia",i105940,Blechnaceae|family Blechnaceae,Q932153
13206718-n,low tree ferns with large fronds; in rain forests and on lava flows of Hawaiian Islands,i105946,Sadleria|genus Sadleria,Q3424741
13207098-n,in some classification systems placed in family Polypodiaceae: chain ferns,i105948,Woodwardia|genus Woodwardia,Q732221
13208502-n,"one of a number of families into which Polypodiaceae has been subdivided in some classification systems, it is a family of ferns estimated in 1990 to contain 110 species (Davalliaceae)",i105955,Davalliaceae|family Davalliaceae,Q138772
13209871-n,"one of a number of families into which Polypodiaceae has been subdivided in some classification systems, it is one of fifteen families of ferns (Dennstaedtiaceae)",i105962,Dennstaedtiaceae|family Dennstaedtiaceae,Q358326
13210120-n,chiefly terrestrial ferns; in some classification systems placed in family Polypodiaceae,i105963,Dennstaedtia|genus Dennstaedtia,Q1802726
13211367-n,tree ferns of temperate Australasia having bipinnatifid or tripinnatifid fronds and usually marginal sori; in some classification systems placed in family Cyatheaceae,i105969,Dicksonia|genus Dicksonia,Q133239
13211815-n,in some classification systems placed in family Cyatheaceae: ornamental tree ferns with coarse gracefully drooping fronds,i105971,Cibotium|genus Cibotium,Q138838
13212216-n,includes some plants usually placed in e.g. genus Dicksonia: terrestrial ferns resembling bracken; tropical America; Malaysia to Australia and Polynesia; southwestern Europe and Atlantic islands,i105973,Culcita|genus Culcita,Q143760
13213796-n,large widespread genus of medium-sized terrestrial ferns; in some classification systems placed in Polypodiaceae,i105979,Dryopteris|genus Dryopteris,Q1335106
13216445-n,chiefly small perennial rock ferns: bladder ferns; in some classifications placed in Polypodiaceae,i105993,Cystopteris|genus Cystopteris,Q881825
13217840-n,one species: delicate fern of foothills of Himalayas,i106000,Diacalpa|genus Diacalpa,Q8767703
13218568-n,tropical terrestrial shield ferns,i106004,Lastreopsis|genus Lastreopsis,Q6494975
13218698-n,small genus sometimes included in genus Onoclea; in some classifications both genera are placed in Polypodiaceae,i106005,Matteuccia|genus Matteuccia|Pteretis|genus Pteretis,Q304969
13219252-n,genus of fern having only one species,i106007,Olfersia|genus Olfersia,Q17167662
13219626-n,one species: sensitive fern; in some classifications included in Polypodiaceae,i106009,Onoclea|genus Onoclea,Q5590498
13220343-n,small to medium-sized terrestrial ferns especially holly ferns; in some classification systems placed in Polypodiaceae,i106012,Polystichum|genus Polystichum,Q608099
13221704-n,leatherleaf ferns: in some classifications included in genus Polystichum,i106019,Rumohra|genus Rumohra,Q7379335
13222137-n,terrestrial or epilithic ferns of tropical rain forests,i106021,Tectaria|genus Tectaria,Q7692798
13223647-n,small family of usually scandent ferns,i106029,Lomariopsidaceae|family Lomariopsidaceae,Q138776
13223831-n,terrestrial or less than normally scandent ferns of tropical regions of Northern Hemisphere,i106030,Bolbitis|genus Bolbitis,Q1339138
13224013-n,large scandent ferns of southeastern Asia,i106031,Lomogramma|genus Lomogramma,Q9023570
13224149-n,very small family of tree ferns,i106032,Lophosoriaceae|family Lophosoriaceae,Q33137959
13224303-n,one species: tree fern of Central and South America,i106033,Lophosoria|genus Lophosoria,Q11986775
13224449-n,very small family of New Zealand ferns,i106034,Loxomataceae|family Loxomataceae,Q769399
13224606-n,one species of terrestrial ferns of New Zealand,i106035,Loxoma|genus Loxoma,Q87293338
13224740-n,"one of a number of families into which Polypodiaceae has been subdivided in some classification systems, it is a family of ferns with three genera containing approximately sixty species (Oleandraceae)",i106036,Oleandraceae|family Oleandraceae,Q15474808
13225380-n,tropical and subtropical Old World epiphytic or lithophytic ferns,i106039,Arthropteris|genus Arthropteris,Q4797690
13226899-n,"a fern genus in the Ceratopteridoideae subfamily of the Pteridaceae, in some classification systems placed in family Polypodiaceae (Acrostichum)",i106045,Acrostichum|genus Acrostichum,Q178400
13227482-n,cosmopolitan genus of ferns: maidenhair ferns; in some classification systems placed in family Polypodiaceae or Adiantaceae,i106048,Adiantum|genus Adiantum,Q673823
13229366-n,small evergreen ferns: lipferns; in some classifications placed in family Polypodiaceae or Adiantaceae,i106057,Cheilanthes|genus Cheilanthes,Q2628740
13230545-n,terrestrial ferns of Pacific islands and Asia,i106063,Coniogramme|genus Coniogramme,Q9297166
13230904-n,sometimes placed in family Polypodiaceae or Cryptogrammataceae,i106065,Cryptogramma|genus Cryptogramma,Q2121229
13232077-n,xerophytic ferns of South America,i106071,Jamesonia|genus Jamesonia,Q2472635
13232203-n,small terrestrial ferns of Old World tropics and subtropics: clawed ferns; sometimes placed in family Cryptogrammataceae,i106072,Onychium|genus Onychium,Q2572537
13232414-n,genus of chiefly small rock-loving ferns; in some classification systems it is placed in the family Polypodiaceae or Adiantaceae,i106073,Pellaea|genus Pellaea,Q654247
13233649-n,terrestrial tropical ferns having fronds with powdery yellowish or white undersides; sometimes placed in family Polypodiaceae or Adiantaceae,i106079,Pityrogramma|genus Pityrogramma,Q2637071
13235543-n,lower ferns coextensive with the family Marattiaceae,i106089,Marattiales|order Marattiales,Q15708883
13235961-n,type genus of the Marattiaceae: ferns having the sporangia fused together in two rows,i106091,Marattia|genus Marattia,Q6755059
13236697-n,fairly small terrestrial ferns of tropical America,i106095,Danaea|genus Danaea,Q5214890
13236834-n,"whisk ferns; comprising the family Psilotaceae or Psilotatae: vascular plants with no roots, partial if any leaf differentiation, and rudimentary spore sacs",i106096,Psilopsida|class Psilopsida|Psilotatae|class Psilotatae,Q99233195
13237373-n,small family of lower ferns having nearly naked stems and minute scalelike leaves,i106098,Psilotaceae|family Psilotaceae,Q500230
13237571-n,type genus of the Psilotaceae,i106099,Psilotum|genus Psilotum,Q139732
13238111-n,Paleozoic simple dichotomously branched plants of Europe and eastern Canada including the oldest known vascular land plants,i106102,Psilophytales|order Psilophytales,Q35134940
13238522-n,Paleozoic plants,i106104,Psilophytaceae|family Psilophytaceae,Q35145312
13239012-n,primitive plants of the Paleozoic,i106107,Rhyniaceae|family Rhyniaceae,Q116724894
13239179-n,type genus of the Rhyniaceae; small leafless dichotomously branching fossil plants with terminal sporangia and smooth branching rhizomes,i106108,Rhynia|genus Rhynia,Q18645387
13239402-n,Devonian fossil plant considered one of the earliest forms of vascular land plants; similar to genus Rhynia but smaller,i106109,Horneophyton|genus Horneophyton,Q18643199
13239620-n,horsetails and related forms,i106110,Sphenopsida|class Sphenopsida|Equisetatae|class Equisetatae,Q5384600
13239965-n,sole surviving family of the Equisetales: fern allies,i106112,Equisetaceae|family Equisetaceae|horsetail family,Q517643
13241740-n,"club mosses and related forms: includes Lycopodiales, Isoetales, Selaginellales, and extinct Lepidodendrales; sometimes considered a subdivision of Tracheophyta",i106121,Lycopsida|class Lycopsida|Lycopodiate|class Lycopodiate,Q1149748
13243125-n,lower vascular plants coextensive with the family Lycopodiaceae; in some classifications includes the Selaginellaceae and Isoetaceae,i106127,Lycopodiales|order Lycopodiales,Q2577942
13243567-n,type and sole genus of the Lycopodiaceae; erect or creeping evergreen plants often used for Christmas decorations,i106129,Lycopodium|genus Lycopodium,Q624488
13244984-n,in some classifications included in Lycopodiales,i106138,Selaginellales|order Selaginellales,Q7062996
13245154-n,lesser club mosses: terrestrial chiefly tropical plants resembling mosses,i106139,Selaginellaceae|family Selaginellaceae,Q2716448
13246627-n,aquatic or marsh-growing fern allies; known to have existed since the Cenozoic; sometimes included in Lycopodiales,i106147,Isoetales|order Isoetales,Q7170041
13246853-n,quillworts; coextensive with the genus Isoetes,i106148,Isoetaceae|family Isoetaceae|quillwort family,Q12840695
13247424-n,a family of fungi belonging to the order Helotiales,i106151,Geoglossaceae|family Geoglossaceae,Q1349611
13249590-n,small genus of terrestrial ferns of tropical and subtropical Southern Hemisphere,i106162,Cyclosorus|genus Cyclosorus,Q5199019
13249765-n,terrestrial ferns of Florida and West Indies to Central and South America,i106163,Goniopteris|genus Goniopteris,Q17195659
